,WT1,WT2,ALE1,ALE3,ALE4,ALE5,ALE6,ALE7,ALE8,ALE9,ALE10
b3989,70528.6,91981.4,3.8961099999999997,16.6308,6.04231,10.011000000000001,12.0422,4.999680000000001,15.7026,17.7276,13.5903
b3990,3234210.0,4144880.0,507.584,318.226,546.764,540.177,357.532,291.187,261.16,399.723,343.583
b3991,3266570.0,3612480.0,531.934,501.07599999999996,613.611,565.802,401.504,169.47400000000002,325.795,509.256,525.803
b3992,3289490.0,4015010.0,571.936,482.145,656.043,585.0,383.751,267.12,223.58700000000002,515.127,472.249
b3993,3243190.0,4198800.0,698.7339999999999,471.471,661.2719999999999,661.04,430.871,165.847,239.16400000000002,506.949,485.00800000000004
b3994,4087620.0,4951440.0,665.9810000000001,548.819,762.933,784.357,551.073,419.351,432.043,618.7080000000001,575.9580000000001
b3995,2128160.0,1451560.0,90.9739,186.06799999999998,126.132,218.801,162.31,90.1033,184.644,128.85399999999998,147.17
b3996,371614.0,523806.0,78.8946,30.4756,62.9979,55.7908,57.1674,56.5674,33.5981,35.9926,32.8882
b3997,918254.0,1000630.0,179.671,292.765,177.209,150.39,128.657,184.239,250.94099999999997,225.079,231.56400000000002
b3998,528589.0,847386.0,121.305,105.116,85.4998,84.7752,82.3047,48.9469,108.109,105.249,94.3421
b3999,832202.0,806457.0,125.71799999999999,301.911,132.03799999999998,135.974,128.933,153.499,193.082,203.725,213.50799999999998
b4000,18839800.0,15994600.0,3700.63,6062.11,4701.49,4954.77,4115.53,736.45,6349.6,5266.91,4617.95
b4001,389866.0,209203.0,65.2237,45.883,42.7852,40.4916,66.5995,13.8098,29.0099,31.5473,38.0689
b4002,140608.0,62312.4,5.63729,6.914510000000001,1.89038,1.6889599999999998,0.6386470000000001,0.0,3.9325099999999997,3.5992599999999997,3.28389
b4003,21145.2,19282.9,6.39101,31.397,6.63333,7.60277,3.3604199999999995,14.5509,21.9226,16.7305,26.1971
b4004,19657.0,23624.5,7.5815,13.7771,7.584810000000001,5.94548,4.58999,4.190580000000001,7.642939999999999,11.677,10.5348
b4005,1486990.0,1779580.0,816.997,460.09,466.92699999999996,382.593,656.447,420.543,266.263,516.25,422.32300000000004
b4006,2071450.0,2264980.0,956.227,312.349,542.967,479.625,795.58,705.192,134.293,423.11,356.48
b4011,7655.49,8224.36,2.45337,8.48165,4.751519999999999,2.0811900000000003,8.92501,0.0,0.803375,12.0697,8.93958
b4012,29836.8,64832.6,6.2233,19.2122,3.4735400000000003,6.247319999999999,8.7691,16.125,14.5756,9.68927,8.79074
b4013,1274370.0,1312290.0,372.11400000000003,39.0997,486.80400000000003,283.119,455.27,166.977,28.2497,82.6245,55.655
b4014,18983900.0,21186600.0,304.22700000000003,259.901,623.251,610.3290000000001,826.1080000000001,288.656,563.48,478.585,243.628
b4015,21506000.0,24728600.0,559.896,741.6410000000001,1061.46,1090.0,1111.48,433.25300000000004,781.904,926.3,485.023
b4016,2516550.0,2982790.0,54.6653,44.0024,87.7115,97.6903,118.851,24.4112,57.056999999999995,81.9355,35.7948
b4017,12059.0,3622.6,0.19448800000000002,1.26735,0.19336199999999998,0.186589,0.437787,0.9795450000000001,0.0746814,0.437734,0.33155500000000004
b4018,1050030.0,942279.0,170.665,100.09899999999999,150.093,137.672,123.08,47.6578,154.05,161.174,96.1417
b4019,1269670.0,1377570.0,180.66,202.93,250.483,164.493,202.41099999999997,195.503,212.334,233.65099999999998,179.86599999999999
b4020,135380.0,175876.0,38.3769,51.7013,39.3776,37.4715,32.4285,28.1727,34.5057,45.3519,44.6327
b4021,103292.0,79774.3,50.6165,233.828,35.5706,69.3481,21.5076,113.706,267.312,124.022,214.555
b4022,584990.0,476745.0,70.9334,129.872,73.2867,109.961,54.4109,120.48,126.31299999999999,110.479,118.667
b4023,796481.0,635336.0,104.723,204.285,134.237,118.855,128.395,0.0,168.872,194.16299999999998,167.287
b4024,4002570.0,4428920.0,1305.52,579.685,945.9010000000001,1219.72,1211.72,869.987,888.597,1422.0,602.773
b4025,3861740.0,4093590.0,729.3,858.367,818.073,727.143,588.967,750.1189999999999,824.409,1011.23,963.2489999999999
b4026,101467.0,62237.2,55.4432,46.5038,10.176,25.5493,25.7732,0.0,57.3706,39.904,36.0124
b4027,0.0,3838.5,1.6756,1.3302,1.83755,0.8569690000000001,0.302877,0.0,2.0272900000000003,1.3345,2.2543900000000003
b4028,0.0,3179.92,1.61354,1.80696,0.740997,3.48429,1.21565,0.0,0.27573400000000003,1.2220600000000001,0.919449
b4029,21038.4,30328.1,3.1893599999999998,2.7572400000000004,1.62132,1.27061,2.03254,2.0568299999999997,2.9725099999999998,3.3246,2.2139900000000003
b4030,509478.0,403634.0,7.078139999999999,213.815,36.7209,16.3024,10.374,20.2269,116.475,82.0606,175.37
b4031,23607.2,6976.58,1.4021,1.51926,1.0618299999999998,1.45613,1.27929,0.0,2.0931599999999997,2.33272,2.38846
b4032,33814.2,42728.8,7.98699,9.27484,5.70415,52.9906,5.21699,9.30693,9.01748,5.1679,5.84422
b4033,44840.6,55681.6,10.5584,7.06169,7.04387,69.601,8.38968,16.794,6.619339999999999,5.55832,6.368869999999999
b4034,251252.0,219111.0,44.9748,43.0625,36.3538,618.922,64.6565,138.418,69.4709,17.6049,39.9871
b4035,27466.0,55717.4,16.7346,3.6008199999999997,5.32684,159.227,6.51759,36.0673,6.31712,1.03217,2.96823
b4036,130288.0,125951.0,29.4904,13.9354,13.9451,512.2,24.9574,79.6616,28.9996,5.7295300000000005,16.9661
b4037,84392.6,91741.3,20.5629,12.3886,15.5547,278.665,24.0514,59.0824,21.4002,8.38663,15.8879
b4038,15404.7,3141.85,0.112864,0.515265,0.0,0.16471,0.11164400000000001,0.0,0.26285,0.193025,0.43778500000000004
b4039,298621.0,446445.0,79.9366,99.5396,78.0949,102.47200000000001,56.7837,126.15799999999999,93.5424,88.4908,82.8008
b4040,268217.0,275739.0,65.5343,136.798,58.9225,51.3707,42.5325,73.5674,90.3813,80.9094,139.731
b4041,641621.0,724048.0,201.236,112.16799999999999,147.668,155.134,153.19,170.929,109.36,146.971,115.818
b4042,419830.0,405376.0,115.43700000000001,116.416,91.4136,74.8177,75.2919,65.7458,108.302,79.248,91.3081
b4043,1027960.0,1007500.0,263.78,959.8910000000001,322.006,267.113,248.7,453.898,557.757,518.844,663.909
b4044,53651.1,97838.0,24.6474,7.55847,13.145,13.075999999999999,15.5732,8.53373,5.65855,10.0322,7.32988
b4045,270982.0,241696.0,13.9126,31.1215,10.3735,26.0582,14.7155,0.0,19.0339,12.1538,28.934
b4046,320697.0,315273.0,60.6129,201.868,115.12799999999999,86.9136,49.6679,218.47299999999998,181.607,214.717,227.453
b4047,0.0,0.0,0.0,0.0,0.0,0.0,3.00077,0.0,0.0,0.0,1.2763
b4048,9074.46,0.0,0.243383,1.53139,0.393577,0.0,0.258588,0.0,0.29201,0.28779,0.0
b4049,301287.0,290811.0,95.4218,63.4564,63.993,62.7361,64.6689,58.9349,49.3969,44.5483,53.3914
b4050,81173.7,20745.7,19.0586,10.7316,20.3521,3.6499,7.363760000000001,0.0,10.9277,15.136,15.0052
b4051,610744.0,588572.0,25.0782,96.3163,51.5407,46.1628,28.3881,25.9531,92.3496,63.0548,56.3371
b4052,1049770.0,981018.0,234.09799999999998,105.868,171.45,182.804,183.761,137.119,125.806,91.1868,101.61
b4053,490801.0,569017.0,92.4506,55.5673,83.7165,69.4544,61.5947,100.579,53.9527,65.9682,56.083999999999996
b4054,2872980.0,3277130.0,195.98,241.201,347.131,222.47099999999998,314.245,229.243,169.86900000000003,310.733,191.541
b4055,110678.0,89583.9,7.942880000000001,34.4304,7.38595,20.4378,10.9797,26.439,30.8805,27.1595,43.4707
b4056,1007230.0,874365.0,66.4012,120.613,82.0669,82.7386,45.5219,38.6892,141.942,119.66,132.96
b4057,481588.0,485944.0,29.4834,64.3998,49.6117,37.8265,26.3832,33.2024,53.4984,57.4421,42.2497
b4058,431990.0,476289.0,84.6172,81.7988,79.0597,62.1304,74.6143,64.7755,88.9358,91.5116,69.5964
b4059,1337740.0,1244340.0,398.161,615.07,434.967,241.891,366.884,270.74,411.458,397.897,427.259
b4060,611780.0,370248.0,31.4351,212.68400000000003,34.1755,33.6751,50.849,0.0,109.135,123.339,515.856
b4061,90453.1,91356.1,2.49209,0.9782040000000001,1.81109,3.8828300000000002,2.70961,2.38954,1.06982,1.6220299999999999,2.37534
b4062,846699.0,660043.0,73.2604,100.822,145.32,156.84,100.311,76.0737,135.36,70.9444,82.1942
b4063,66465.1,120708.0,12.447000000000001,35.3699,15.0651,5.74153,11.7,17.8074,19.0184,16.1513,30.2046
b4064,566687.0,638876.0,214.72299999999998,38.611999999999995,84.6874,68.2294,158.174,87.7593,17.1604,60.7606,36.5317
b4065,268557.0,367215.0,36.0541,98.2404,43.4068,29.3213,27.7009,29.6219,92.92,77.0631,69.6961
b4066,8672.58,0.0,0.0,1.2419799999999999,0.0,0.340352,0.11544700000000001,0.0,0.0,0.265888,0.0
b4067,88788.2,99813.5,8.836780000000001,7.7523100000000005,7.5895399999999995,43.0217,10.6144,4.55722,6.65176,9.557830000000001,3.91934
b4068,134532.0,106334.0,16.2766,8.31663,5.99024,47.9156,11.2164,0.0,5.05201,15.8613,9.08998
b4069,503132.0,619439.0,59.3541,44.1678,40.3699,225.965,54.8838,50.1119,23.7052,44.8079,27.6232
b4070,24335.4,33073.1,3.8197099999999997,20.5312,2.6618,4.20656,4.97853,5.946269999999999,81.8076,10.7417,9.58888
b4071,16425.0,31634.4,3.30042,10.6202,2.22569,1.02878,2.21236,0.0,22.2268,4.801159999999999,2.248
