Gene ID,0 nM,1 nM,5 nM,10 nM,15 nM,20 nM,50 nM,100 nM,500 nM
YER054C,4.029237152,6.163382464,3.931732203,7.505519807,4.995960057,6.566531372,5.616721133,4.874052514,6.487009763
YDR305C,35.33371507,27.56184052,32.02003403,29.89081985,28.45923352,30.96862992,32.34958586,28.61424072,29.61085252
YHL019W-A,1.398002604,1.900867067,1.644481121,2.296572857,0.856010478,1.291665172,1.001220058,0.956595177,1.385084715
YNL201C,59.2958517,55.82310639,65.6634069,54.86894893,58.99832897,67.10056826,55.0853708,50.58538108,51.41441453
YHR180W-A,0.569378808,0,0,0,1.115635633,0,0,0.890519529,2.256470429
YCR061W,18.5926969,22.94367328,16.0463332,17.7099268,20.25099447,15.53921293,14.63607861,13.47057641,14.73671664
YBR206W,114.2142158,124.1381373,136.6840129,137.9335269,136.0971853,123.575522,116.5914337,121.1795816,129.6876689
YPL171C,1.551817782,1.071751054,0.811295595,2.185074163,1.689231991,1.203667646,0.776201383,0.943861797,1.537478603
YHR051W,220.962383,213.3835922,220.0410266,223.560922,218.5245043,229.7490697,250.8396186,231.6648618,268.8741356
YDL116W,54.00009507,52.66734625,49.89752098,50.46764002,50.20257998,55.20203006,49.17866953,52.00511501,59.43522408
YPR124W,43.65922025,36.95784166,37.05964423,36.4387319,31.03936091,37.18172306,21.83011443,21.12283126,17.33598142
YJL023C,17.18836159,18.52701006,16.4895317,16.41478674,15.37929927,18.27788091,16.34548999,17.55937165,14.3717479
YGL167C,105.1166711,111.513123,111.1886147,110.2373377,116.2956265,109.5759601,136.6836897,145.8784645,152.0601559
YDL165W,52.4442442,49.8494714,49.49121184,48.72272035,48.20128007,46.62349676,47.49787956,52.56852935,48.20998125
YLR154C-H,0,0,0,0,0,0,0,0,0
YPL119C-A,12.60860143,9.184254514,8.764123722,9.986536669,9.650460327,12.62033816,16.12502701,13.55756728,13.27285077
YIL143C,42.62174938,43.58196686,38.49430186,38.85669834,42.39812117,42.40187631,38.20312602,37.52496595,36.18376485
YBR292C,6.144993925,4.774492059,6.212842423,7.341604875,7.935747807,9.864082124,5.944093514,5.242303643,6.088212667
