gene,Var2,Var3,Var4,Var5,Var6,Var7
b2464,10.14923216,9.674035718,9.860881142,9.123393534,8.966158245,8.882952392
b2026,9.744732758,10.27740929,10.21488756,10.51223339,10.69102294,10.83421012
b1800,7.40081099,7.854013892,7.953815628,8.172909937,7.597294286,9.01789702
b0523,7.753779955,9.432638512,9.30917723,10.0574688,9.632521381,10.73249781
b1131,9.23812989,9.625654315,10.11924205,10.37534108,9.87752897,10.40113271
b0030,8.701577164,8.011454577,8.353884926,8.384785933,7.84516465,9.28906048
b0200,9.546740931,10.21539947,10.08431227,10.35125027,10.37845178,10.45290204
b2024,9.267379149,9.67690115,9.538607979,9.764687219,9.738483262,9.840600287
b0222,9.009387377,9.399703257,9.515858723,9.471356919,9.522906614,8.898004229
b3607,8.827965834,9.077416447,9.067293724,9.298635671,9.074597306,10.22893399
b2407,7.37378902,7.613880292,7.615227855,7.760669198,7.337577916,8.714701251
b0038,6.973067039,7.599152846,7.587913729,7.825720161,7.609652724,8.407968595
b2421,9.082242323,9.906922609,10.08664997,10.42804489,10.33769712,10.21238897
b2235,9.076405173,9.194434059,9.487362721,9.569129347,9.683770016,8.84247068
b2414,11.4967615,11.25364702,12.02755845,11.60445629,11.22669023,11.55157856
b4214,9.747239161,9.465322298,9.537519036,9.075104157,9.413509185,8.424389946
b3781,10.13834281,10.47001693,10.58428663,11.00027687,11.03050804,11.59042
b0036,6.971213099,7.327289481,7.600982457,8.07898517,7.4849021,8.99492485
b3844,9.606419737,9.815847689,9.987663056,10.04052888,9.846554427,10.7407286
b2762,9.961066442,9.62907523,10.12214701,10.23491067,10.38123593,10.23497895
b2582,9.018482736,9.348147983,9.427423909,9.699162425,9.598830085,10.17026338
b2234,8.462261518,8.73295998,8.918949783,9.301589625,9.294409045,9.027670298
b4024,9.699363666,11.07064723,11.15307973,11.02960991,10.39466387,11.0556029
b2784,9.255505952,9.199999623,9.314427934,9.471335467,9.207294353,10.13880094
b0002,9.77767219,10.89849859,11.40134424,11.34727358,11.32355239,11.32870953
b2827,9.150542275,9.510331604,9.512699796,9.88534155,9.645001289,10.40650593
b3940,8.592214067,9.066294202,8.98272582,9.254854235,8.661658498,9.703935196
b2431,9.409875798,9.690238266,9.789656199,9.965537871,10.07345021,9.910345087
b3433,10.79270388,11.89476709,11.87287759,11.78302625,11.69307133,11.65517501
b1019,8.789973077,9.255907587,9.32472832,9.471278686,9.350177138,9.448060149
b1238,8.688111251,9.408496649,9.368579622,10.13011361,9.763355414,10.04069627
b3639,8.989595059,9.312522194,9.446251734,9.828507196,9.602593668,9.964253163
b2838,8.210331005,9.377774972,9.496688735,9.690966473,9.550038293,9.841816733
b1232,9.109230264,10.5285148,10.75875118,10.95049034,10.86079769,10.93823169
b0475,8.113471015,8.068190869,8.063920961,8.43745566,8.286701831,8.865762525
b4040,9.130683743,9.0514084,9.55154424,9.319684747,9.246135851,9.784740377
b3974,8.923370206,9.500996662,9.60845915,9.720981219,9.390230147,9.689978268
b0103,8.967997248,9.049432966,9.102105317,9.378055468,9.011698716,9.782675746
b1851,8.541084311,8.893669409,9.166453125,9.17856846,9.226030173,9.458905619
b1693,8.179005935,8.478310416,8.813625567,8.832864026,8.882021077,8.565080386
b4146,8.129714401,8.83896283,8.843770507,9.343778217,9.160685358,10.16104205
b2942,10.11939675,10.6788748,10.64460671,11.09609366,10.2512822,10.83876468
b2104,10.02979911,9.747988125,9.917453406,9.424239426,9.286447426,9.421669656
b4192,7.789235432,8.077249467,8.185492191,8.523599363,8.207925169,9.606566887
b1215,9.001790643,9.395908184,9.623594814,9.771018195,9.770498144,9.905512884
b1004,10.82832086,10.57594038,10.75462185,9.948918109,9.812858742,9.126628755
b3713,8.67491043,8.452061175,8.646638915,8.454312967,8.488018149,8.917609799
b1993,8.371087952,8.463324835,8.495886745,8.579013371,8.805786918,9.097599836
b1109,8.097523068,9.296456903,9.053321819,9.41240847,10.09903342,8.700116546
b3198,9.277074318,9.397486275,9.413373121,9.692981601,9.755948346,10.25770294
b1992,8.863885057,8.995723501,9.059072985,9.148651423,9.140578432,9.291523946
b0417,8.186714774,8.289229761,8.274588354,8.200772974,8.187684989,8.934354616
b1744,7.741771832,8.049501376,8.039724519,8.087700142,7.571419563,8.801336213
b0046,7.910180501,7.827468404,7.974018933,8.066889379,7.915872297,8.576368437
b0348,6.902202868,7.631788508,7.791508124,7.930775555,7.323560001,9.128581292
b0349,7.504905026,8.084977721,8.268282499,8.534578008,7.501161535,9.124353738
b0340,7.795318926,7.774098774,7.864868903,8.167595796,7.751938383,9.412346638
b3236,12.19769862,11.73458774,12.13562871,11.6669034,11.6010278,11.89595542
b0583,9.511606786,9.610925396,9.584156693,9.14901846,9.217710808,8.459062188
b1612,11.19600962,10.15900555,10.97776464,9.473925992,9.639175759,9.34344462
b1611,9.182314479,8.393720391,8.6850637,8.272634643,8.354214331,7.831245434
b2988,8.129284629,8.751876625,8.987158156,9.169746783,8.839795105,9.058299866
b0732,7.77355682,8.123389011,8.198323936,8.407176509,7.621040553,9.077794235
b2883,7.642553551,7.906882044,8.033251559,8.309690854,7.992916159,8.924338838
b0517,7.416307194,8.046375236,8.101463664,8.312216481,7.964583054,8.509626494
b1098,8.980660205,9.288156256,9.154227021,9.493952804,9.275372318,10.15048217
b0521,7.349720234,7.689689421,7.715464517,7.914037535,7.372203853,8.614982966
b3223,8.168489747,7.522941778,7.856350354,8.1037049,7.51379971,9.02708847
b1638,8.792933935,9.58465624,9.772373343,9.825718638,9.548441964,10.01232443
b0888,9.191095768,9.836724866,10.11704488,10.41665743,10.26230445,10.35695206
b2428,8.480539987,8.296422446,8.787316126,8.362688975,8.117029301,8.949493054
b0907,9.680755117,10.83559077,10.98860323,11.18788009,11.36025077,10.7462387
b0651,9.170951031,9.195282471,9.744224904,8.444347488,8.317294142,8.996815244
b1210,8.354822962,8.830442696,8.809818268,9.196109605,9.230799223,9.184137787
b0688,9.827438552,9.775986471,9.903003539,9.813558154,9.952280251,9.619209674
b2162,6.8129609,7.24238454,7.114862517,7.442550122,7.065979222,8.204581076
b1317,6.704217846,7.118470645,7.318977671,7.40217155,7.084844178,7.582892683
b3429,9.903368867,9.958200452,9.951047127,9.972276527,9.625272019,10.50173592
b0522,8.700844704,9.289353192,9.409954229,9.993847246,9.599708771,10.39572559
b3428,9.836875857,10.12062248,10.09565861,10.07989882,9.694265461,10.29616741
b1779,12.28059104,12.45170141,12.66764712,12.47988134,12.48666137,12.46227784
b2690,7.640185486,7.970014245,7.915577275,8.634811961,8.219907816,9.800738523
b2388,9.429733253,9.901682767,10.043001,9.627258638,9.549742291,10.23516009
b2029,10.52190732,11.13598719,11.40298484,11.4602648,11.3139256,11.35248298
b2168,8.487911115,8.973692336,8.697167615,8.683955009,8.173401677,9.486197523
b0428,10.93403709,10.87093522,10.91138375,10.99550484,11.07004608,11.27579375
b0120,9.47505137,9.845980212,10.20317152,10.74352907,10.50325548,11.10246914
b2687,10.70520359,10.96556528,11.20085955,10.9582968,10.94993533,11.09337636
b2937,8.652213451,9.019944957,9.139026518,9.703290822,9.237200741,9.382984412
b2463,9.98456389,8.647080028,8.948140349,7.868996985,8.268322352,7.619414411
b3960,8.764689582,9.51062261,9.72782689,10.04285843,9.202934782,10.80084517
b4117,6.694829337,7.174239786,7.543267307,7.643643436,7.386221342,8.506211707
b4196,7.294275723,7.807968675,7.973780121,8.344587362,7.858503429,9.324524777
b0033,9.213729427,9.446488184,10.00097516,10.08429715,9.4183662,10.61595388
b3581,7.593882283,7.665078657,8.033101764,8.233893252,7.829850896,9.014335136
b0032,9.039764803,10.39586728,10.80319871,11.02968828,9.977074437,11.62246903
b3172,9.766395995,10.478554,10.97225713,11.26326263,10.66298122,11.65259281
b3582,7.315167508,7.778697731,7.898287776,8.309731238,7.563486559,9.37367809
b0242,8.781130596,9.171045542,9.214118864,9.319683432,9.404223408,8.887143547
b0074,10.60233534,10.8581523,10.95111468,10.60892256,11.09226181,10.57624204
b3958,9.108164077,9.775613159,10.00579897,10.56102596,9.011304252,11.25921693
b4197,7.347847804,7.499853948,7.894802795,8.354687893,7.430883219,9.226825974
b1091,10.00332067,10.29973818,10.27376781,10.58811132,10.42236834,11.05726158
b0121,10.0702536,10.57663895,10.66222542,11.0169574,10.79657389,11.59034949
b3908,11.41335686,11.3786677,11.55255227,11.51959752,11.61315992,11.65067639
b0154,8.786976191,8.991414624,9.187160064,9.222256974,9.17573875,9.405791552
b0918,8.613923976,9.202913298,9.406311668,9.823088536,9.522401524,9.999593045
b3575,7.788566532,8.515398559,8.488877109,8.975098127,8.085163753,10.24641176
b1656,7.99132713,8.412122637,8.533469792,10.68556343,10.61928072,11.88084351
b0312,7.275496027,7.530534764,7.771568939,7.680988492,7.658904277,7.930999029
b0159,9.02170366,9.472977646,9.681203645,9.939887535,9.760311829,10.12565886
b4322,9.908320702,8.165608617,8.737160457,8.531601699,7.938829407,9.042871874
b1106,8.431397742,8.563870212,8.517661761,8.65544088,8.696427702,8.81435734
b0403,8.147749138,9.906526062,8.745479182,8.707042947,8.393823781,9.236491955
b0207,9.420377233,8.753331535,8.777112603,8.832959359,8.506275631,8.643265286
b1759,7.121159704,7.794132938,7.83109621,8.271203438,7.769700075,9.267581431
b3012,9.508809074,9.124057848,9.368717982,8.802896656,8.767790808,9.065036345
b3092,11.49888028,8.446027928,8.698244926,8.645891685,8.102935565,9.211924309
b3176,9.018261442,9.106134796,9.418243277,9.419457003,9.365695333,9.441701593
b2251,7.799955261,9.171197585,8.878020715,8.591035443,8.986878433,8.339807521
b3730,9.05565546,9.510557574,9.626037322,10.10991717,9.968590679,9.879990478
b3189,8.907232615,9.237294386,9.381788597,9.807132967,9.730752483,9.659230789
b3962,9.803061184,9.549225058,9.737333008,9.652227751,9.495069593,10.6813603
b0905,7.195305377,7.924782275,7.840269534,8.644553353,8.87234682,7.90225178
b0937,6.568170081,6.984293115,7.268992322,7.235093699,6.817346189,7.961949403
b3967,8.642078013,8.883917459,9.039673483,9.44907208,8.914713466,10.4621491
b3248,9.468095443,9.749741144,9.647793582,9.846652891,9.723281434,10.31890483
b3786,8.197629897,8.671400799,8.923870377,9.487693536,9.227390362,10.47208438
b2763,9.256058617,9.254348839,9.734209169,10.0786641,9.591299454,10.17986564
b0386,8.320354244,8.509348572,8.713101079,9.058486627,8.920550967,8.971598861
b2764,9.482337925,9.608155847,10.27141453,10.35097491,9.572034836,10.15983063
b2323,11.11144435,10.54814485,11.17392003,10.76178981,10.54899096,10.64708674
b2668,7.707623917,7.962711718,7.929914834,8.012959777,7.6680892,8.419416252
b2232,8.881862271,9.589128,9.650147393,9.909846192,9.99861408,9.674914193
b2563,7.874230263,8.08582726,8.219521174,8.437553285,8.398152748,8.912503195
b3475,8.474765854,8.847998478,8.931427652,9.282786039,8.804668056,9.78744485
b3425,9.259656639,10.31221185,10.01176023,10.58984515,10.49128457,10.6045386
b2053,7.091611438,7.5899475,7.751224109,8.205434911,7.958409175,8.981700612
b0593,10.03505252,10.27437741,10.42459682,10.19850981,9.821685961,9.350771287
b2920,6.965394039,7.520507452,7.54612547,8.044994021,7.692665005,9.168111601
b0142,7.822049646,8.226241728,8.330469848,8.506112507,8.069216519,9.451814457
b3634,7.885896061,7.858585529,8.052214673,8.634340749,8.383873697,9.678619943
b1982,9.109724217,9.543891764,9.718648197,9.669954867,9.722259909,9.413635779
b2143,8.42776305,8.6323633,9.03631717,8.52419653,8.137328775,8.587245622
b0778,8.640449276,9.414097171,9.553269425,9.287675052,9.418491981,9.27968632
