,con20.9%,con2.8%,con1%,con0.5%,con0%
YBL003C,12.12998719,12.614128,12.63857341,12.6660692,12.80444618
YBL004W,8.95973021,9.687974865,9.51281986,9.468009031,9.40534082
YBL005W,7.349471127,7.198481137,6.98429118,6.972245567,7.213981383
YBL005W-A,4.855440391,5.006601915,4.920319419,4.803060091,5.441672442
YBL006C,9.410828537,9.534246256,9.33683768,9.375005826,9.331019
YBL007C,10.36986332,10.28213567,10.26994867,10.35249783,10.4111273
YBL008W,8.576329279,8.653756579,8.628390926,8.744208422,8.814590035
YBL008W-A,5.807794067,4.81214679,5.038470678,4.915163496,5.232032269
YBL009W,8.36689469,8.717737142,8.500288755,8.419514994,8.640560571
YBL010C,7.806533172,8.217028393,8.095554196,8.178161812,8.162736339
YBL011W,9.310739284,9.242442645,9.268499666,9.462954619,9.451716422
YBL013W,4.655959362,4.784713246,4.730996705,4.687546996,5.056092983
YBL014C,7.740083912,8.030853389,7.909670278,7.831722279,8.063016571
YBL015W,12.45866129,13.00159252,13.13367589,13.11250368,12.2454901
YBL016W,9.289423969,10.30542631,10.25615219,10.24058398,8.421604953
YBL017C,10.27638446,10.2965525,10.40366171,10.5822384,10.45865918
YBL018C,9.302170244,9.521280884,9.446403662,9.526070362,9.948471484
YBL019W,8.866082073,8.549936151,8.5973749,8.609343412,8.417687238
YBL020W,8.588377436,8.939236939,8.977912491,8.895060615,9.076662622
YBL021C,8.576099787,9.289795354,9.26078064,9.247758112,8.89495309
YBL022C,11.33635814,11.38648376,11.64847765,11.73920357,11.56762679
YBL023C,9.439806337,9.651673207,9.695553115,9.686806372,9.699588132
YBL024W,9.747831655,10.12413125,9.988502871,10.00918717,10.19141212
YBL025W,7.840047822,7.623599177,7.552338505,7.416201933,7.7983844
YBL026W,9.818864062,10.3383331,10.10524813,9.939770476,10.06703877
YBL027W,12.6286788,12.91087894,12.67203034,12.6899803,12.85478989
YBL028C,8.095008224,8.583072274,8.49462321,8.386161742,8.423691716
YBL029C-A,10.71136196,10.50772663,10.62539718,10.71537424,9.882865759
YBL029W,7.393074125,8.162108785,9.269857496,9.381025601,8.708960254
YBL030C,13.30655702,13.56742091,13.60258907,13.49191692,12.94317125
YBL031W,6.195917057,6.623743233,6.726899037,6.798822274,7.501971891
YBL032W,9.291627427,9.35838289,9.518630466,9.50358873,9.710236262
YBL033C,11.15042246,10.90782885,10.77688224,10.95161719,10.79241473
YBL034C,8.40911065,8.580097084,8.527421164,8.531190199,8.575690715
YBL035C,8.558323227,8.619778828,8.562905078,8.80407409,8.513880244
YBL036C,8.977961113,9.193342238,9.077085888,8.910948133,9.318854297
YBL037W,8.674858563,9.18162702,9.135479027,9.036580277,9.293557673
YBL038W,10.41838022,10.84407444,10.9199495,10.95981911,10.83134399
YBL039C,9.480037777,10.10515696,9.920310284,9.724333484,9.841658098
YBL039W-A,9.521166447,9.251399083,9.20073155,9.070892282,9.077551501
YBL040C,8.218697112,8.610739285,8.57849031,8.308542426,8.827319236
YBL041W,11.56357271,11.33651955,11.31359091,11.34573095,11.44738461
YBL042C,9.979686945,10.51000562,10.23148053,10.3076125,9.013978801
YBL043W,10.40308355,9.862129833,10.07770435,9.800081174,8.271382693
YBL044W,4.681480275,4.500896415,4.483367503,4.417123761,5.179919097
YBL045C,12.90568376,13.16520519,13.29914807,13.26298646,12.52158744
YBL046W,7.874183328,7.950119247,7.858392121,7.970588065,7.85852049
YBL047C,11.30798201,10.98467378,11.11200981,11.26611161,11.30858081
YBL049W,8.448735412,8.388938191,8.491107787,8.551156482,7.784668849
YBL050W,10.50676105,10.47810444,10.46618893,10.38718017,10.47841503
YBL051C,9.979300009,10.00996744,10.22627661,10.12838381,10.39185614
YBL052C,8.393004884,8.364644627,8.439814665,8.622724145,8.720286275
YBL054W,8.388215879,8.55375023,8.32358479,8.235529253,7.691562522
YBL055C,7.888433615,8.209867033,8.024740778,8.14461744,8.291477789
YBL056W,9.695268459,9.941203041,10.07298516,9.855465859,9.957033403
YBL057C,9.108243381,9.367283208,9.176611688,9.16150672,9.614488468
YBL058W,10.93714524,10.38568329,10.51841802,10.58806666,10.75116456
YBL059C-A,7.994710438,9.1417959,9.190377349,8.942056429,8.868814051
YBL059W,8.668728746,9.416904377,9.397649432,9.510348085,8.850291163
YBL060W,6.950560729,6.769035044,6.816620091,6.894764008,6.735700646
YBL061C,8.709172767,9.041927902,8.93063043,9.087792363,9.157927714
YBL063W,7.766785515,7.918320777,8.096905115,8.176429801,8.093238468
YBL064C,12.23564271,12.07259511,12.40976114,12.40435582,11.89722495
YBL066C,8.346148422,8.840632825,8.872517305,8.852652003,8.350160049
YBL067C,8.438120198,7.860342151,7.519277357,7.268743337,7.446183903
YBL068W,9.210740391,9.999101401,9.859756813,9.814666133,9.610834792
YBL069W,7.535382823,7.64434471,7.65474673,7.528765804,7.358659401
YBL071C-B,4.086451218,3.874258765,3.852821826,3.928430425,3.860455982
YBL071W-A,8.729552829,8.880408481,8.585044344,8.568483869,8.555185846
YBL072C,13.21968677,13.50088627,13.40059674,13.33841971,13.49787116
YBL074C,5.289347278,5.649129626,5.541395401,5.308473899,5.938723159
YBL075C,13.08960454,8.446200591,8.809579024,9.154455553,8.401140772
YBL076C,10.80565642,11.12019297,11.09780024,11.17730518,11.43874901
YBL078C,11.074865,10.31664655,10.26977505,10.23868786,10.02608722
YBL079W,9.505766197,9.768871617,9.727437819,9.674342475,9.852332411
YBL080C,7.414706761,7.488109745,7.707295497,7.665950145,7.377447992
YBL081W,7.608289431,8.44392486,8.264877349,8.384011477,8.420408886
YBL082C,8.535627818,8.96255051,8.984476997,8.996125368,9.15876601
YBL084C,8.636286263,8.275340679,8.260096999,8.214266867,8.236856066
YBL085W,9.65785858,9.427165575,9.402944841,9.548341296,9.65318548
YBL086C,8.727075213,7.844307758,7.942685972,8.14092813,7.281980834
YBL087C,12.05268544,12.6742183,12.53799658,12.40190769,12.71077554
YBL088C,8.890747054,8.636759043,8.67073658,8.8381551,8.572997828
YBL089W,8.199945702,8.346727916,8.243000546,8.36347181,8.311225376
YBL090W,8.731309885,9.327560148,9.238367178,9.18379125,9.324397528
YBL091C,10.35189643,10.21894356,10.11166327,10.21888802,10.3688199
YBL091C-A,8.520019002,8.510233186,8.607673511,8.722493858,9.086974
YBL092W,13.24524103,13.43386361,13.31083589,13.2980211,13.45072962
YBL093C,9.630735211,9.082497208,9.02618863,9.221599047,10.2957465
YBL095W,9.317725291,9.364184519,9.758529736,9.682975557,8.63497688
YBL097W,3.97523373,3.951835657,3.966346968,4.04264301,4.044352086
YBL098W,9.000184022,9.743353398,9.66677639,9.622287585,10.02186447
YBL099W,13.61965484,13.87468482,13.89093028,13.91160308,13.61089914
YBL101C,11.45805521,10.56807199,10.6859771,10.67832195,10.49860211
YBL101W-A,10.00235333,10.59321886,9.867652179,9.324170638,9.966884651
YBL101W-B,11.23824968,11.85346014,11.78043365,11.86487718,11.17763031
YBL101W-C,3.893377759,3.83718964,3.780260328,3.89476204,3.757280588
YBL102W,10.91283379,10.91491469,10.93337899,10.76790165,10.69882649
YBL103C,8.544024452,8.351890463,8.526311625,8.524990347,8.54228031
YBL104C,9.186343815,9.388716515,9.372054482,9.430250348,9.465790989
YBL105C,9.025175893,8.956107115,8.94345278,9.049719708,8.890618181
YBL106C,7.593307079,7.421071766,7.317063928,7.692992576,9.373653484
YBL107C,9.188061346,9.254937621,9.313717725,9.246508393,9.512472535
YBL108C-A,10.67545621,9.88580959,10.14843207,10.32587137,12.3258959
YBL111C,11.05595695,11.19057095,11.38807298,11.12729677,11.42055538
YBL112C,12.03377444,11.54842337,11.89510532,11.87913038,11.81258591
YBL113C,12.31486801,12.18248528,12.37961848,12.53852128,12.29394248
YBR001C,9.890567754,9.594895605,9.491100855,9.567107609,9.405615547
YBR002C,8.188118096,8.474717128,8.386234386,8.362354446,8.759012605
YBR003W,9.259225828,9.696364027,9.863819948,9.787368349,9.881377408
YBR004C,8.288864986,8.464265605,8.353946551,8.216329457,8.666822465
YBR005W,9.249005366,8.713055459,8.503024973,8.568838845,7.967099299
YBR006W,9.058788196,8.265626009,8.481652228,8.29799987,8.599262621
YBR007C,7.452572799,8.254469087,8.558322412,8.713069681,8.850847536
YBR008C,8.0481071,7.150435049,7.141545194,7.197563736,7.317626256
YBR009C,12.27989825,12.54536773,12.59947106,12.67009423,12.67675479
YBR010W,12.1583109,12.55626453,12.56327891,12.58135747,12.6655941
YBR011C,13.26187804,13.22908645,13.27810726,13.20883708,13.2924609
YBR013C,5.149580458,5.234534028,5.270680751,5.280390995,5.44127947
YBR014C,9.622924822,9.534871091,9.42104271,9.267062837,9.372157802
YBR015C,9.860577163,10.04741435,10.03007585,9.915648948,9.754320947
YBR016W,11.79463317,11.47103677,11.54288201,11.47828182,10.95043499
YBR017C,10.02101044,10.16809056,10.29207985,10.31499469,10.24366512
YBR018C,5.20691394,4.52912901,4.802337507,4.677750388,4.928490076
YBR019C,4.606621053,4.501969037,4.463012066,4.439245727,4.85019058
YBR020W,5.907505794,5.408524491,5.485587574,5.630417103,5.45395468
YBR021W,7.6807221,9.240101895,9.244208886,8.921297603,8.62829586
YBR022W,7.246531372,7.510085837,7.425214345,7.309546963,7.815962011
YBR023C,9.791963001,10.74529388,10.5880333,10.43176766,9.638783284
YBR024W,8.825386782,8.530190612,8.802542261,8.718650598,9.071016348
YBR025C,11.97730234,11.89863125,12.0078417,11.93671957,12.00385911
YBR026C,12.44913289,11.5966279,11.6338121,11.47835633,9.568652787
YBR028C,8.57038905,9.010502812,9.156159615,9.140515174,8.987875444
YBR029C,10.07229375,10.8274261,10.85027677,10.60887161,10.4973569
YBR030W,6.504739528,6.964542515,6.920716055,7.012714829,6.974245199
YBR031W,13.499699,13.67803275,13.58654731,13.60462752,13.61869571
YBR033W,8.099364455,9.058934002,9.600870736,9.765075816,9.803466964
YBR034C,9.125536046,9.782455253,9.795222079,9.688123703,9.599288695
YBR035C,10.30299521,10.11002495,10.19386626,10.13189449,10.30379976
YBR036C,10.93412165,11.0735996,11.09637809,11.12155791,11.2606875
YBR037C,9.143211346,9.50395618,9.815357945,9.858379283,10.00854481
YBR038W,8.833806001,9.245707958,9.29957247,9.144533069,9.909043787
YBR039W,12.72326785,13.07378294,13.14707313,13.07319398,12.71314663
YBR040W,5.221927861,6.495447908,6.430031857,6.185260241,5.318084023
YBR041W,8.790065729,9.063443569,9.144935108,9.092983848,9.117355614
YBR042C,8.581429459,8.535419853,8.519913776,8.434081187,9.332693489
YBR043C,9.79403557,8.973124339,8.826292641,8.886440811,9.116562557
YBR044C,8.641164481,8.949362107,9.054051706,8.985579415,8.738944637
YBR045C,7.158769873,5.846041205,5.64066671,5.655229202,5.892774817
YBR046C,10.95202893,9.469709129,9.198862663,8.758112207,7.906797663
YBR047W,8.959941514,7.39358658,7.263679133,6.930395046,5.574414083
YBR048W,11.88315044,12.31378489,12.15542053,12.10519358,12.1418146
YBR049C,8.361446536,8.538939116,8.598663109,8.514400071,8.769913206
YBR050C,9.85676298,9.640499271,9.805592201,9.868229664,10.11362531
YBR052C,10.68017945,11.18389571,11.37381893,11.50437964,11.28967713
YBR053C,10.37722911,9.597561779,9.72781074,9.760275904,9.769618521
YBR054W,12.35773688,9.247730637,10.74165149,11.02491536,8.672709078
YBR055C,8.424817184,8.849626793,8.823969646,8.802427351,8.949193708
YBR056W,10.22819427,9.209094228,9.437914916,9.411617332,9.420743369
YBR056W-A,7.823414024,7.32491027,7.140943885,7.348175476,6.822105725
YBR057C,9.277375162,9.2891185,9.21474846,9.155942144,8.390908849
YBR058C,9.20961743,9.099629187,9.055658523,9.080835351,9.033672811
YBR058C-A,9.921072113,10.28471272,10.2536067,10.13571022,10.26718124
YBR059C,10.48914842,9.939914241,10.08064577,10.31658936,10.15740228
YBR060C,8.947208772,9.245424085,9.198037951,9.180724476,9.18633812
YBR061C,8.837084245,9.288544277,9.086555459,9.175984856,9.073399521
YBR062C,10.76283489,10.49449118,10.42051068,10.45955269,10.5504858
YBR063C,8.223144079,8.002771479,8.204080876,8.404001471,8.410289487
YBR065C,6.146127894,6.039555012,5.988684283,5.894195074,6.398332812
YBR066C,10.12084238,9.826947865,10.1571576,10.38483611,11.65312333
YBR067C,14.27426655,14.10330814,14.01092187,14.13163889,13.79482327
YBR068C,10.60209897,11.00156963,10.64733825,10.40302901,8.750696968
YBR069C,5.013669497,4.942419149,5.49470996,5.712830371,6.825761248
YBR070C,8.372560137,8.447432713,8.303858088,8.341980315,8.880852573
YBR071W,10.49715498,9.638997738,9.744275656,9.593067316,9.359892321
YBR072C-A,5.537734908,4.521913389,4.592014127,4.506493869,4.918599238
YBR072W,14.37732996,13.31208213,13.8828562,13.94447306,11.15988237
YBR073W,9.358119245,9.781096286,9.830116413,9.936796657,9.615434249
YBR074W,8.704798554,9.172727134,9.000049437,8.929031539,8.949628043
YBR076W,4.874916468,4.289460191,4.684767917,4.791030005,4.545345518
YBR077C,9.485387634,9.534754135,9.47367392,9.451883381,9.860807002
YBR078W,12.84942979,13.11796868,13.18212375,13.15534256,12.98153807
YBR079C,11.25309792,11.7007428,11.59652302,11.72967081,11.53084047
YBR080C,9.751423623,9.905403258,9.838623575,9.835271074,10.18567641
YBR081C,9.175959486,9.270143131,9.236352473,9.243485648,9.067890787
YBR082C,12.19572563,12.0462721,12.08333116,12.0318512,12.31030182
YBR083W,11.2641277,11.75940414,11.54498801,11.61130239,9.43350997
YBR084C-A,12.291352,12.56079869,12.41119988,12.34182154,12.56791004
YBR084W,9.218352204,10.14338008,9.977146348,9.900793498,9.498530536
YBR085C-A,11.52174805,10.80361312,10.96610505,10.72962218,11.00728303
YBR085W,7.127702094,6.116080963,6.248575606,6.033353742,9.195835961
YBR086C,11.27068879,11.07790182,11.09586265,11.14024825,10.98483167
YBR087W,8.522393924,8.83164544,8.720636579,8.607043045,8.950210108
YBR088C,10.70546857,10.97740703,11.00579399,10.95924173,10.89235801
YBR089C-A,11.02205203,10.70527162,10.65451247,10.6559408,10.60148923
YBR090C,4.218327939,4.020425228,4.10769444,4.094921261,4.044899907
YBR091C,8.863478611,9.458278754,9.364368755,9.407531343,9.723199193
YBR092C,6.007701262,7.02757551,6.966688319,7.165829677,6.898485449
YBR093C,7.445911003,7.369470492,7.482894742,7.49480808,7.82562194
YBR094W,9.554711875,9.153829049,9.286281101,9.341891909,9.27739663
YBR095C,8.810672361,8.817969495,8.888761076,8.763811581,8.761986146
YBR096W,9.484793996,9.996688223,9.916725571,9.709886938,10.30055435
YBR097W,8.614063861,8.575809813,8.592262023,8.542845758,8.619889097
YBR098W,7.381317976,7.158743793,7.128750664,7.315471675,7.418576296
YBR101C,11.90620528,10.92122468,10.98532152,10.91444957,10.9092552
YBR102C,7.513540406,7.643287466,7.583055254,7.527345278,7.801606702
YBR103W,9.692954427,9.730552163,9.785679905,9.797616693,9.799563344
YBR104W,8.338206878,8.388980994,8.186746942,8.318890588,9.168483295
YBR105C,8.830156476,9.141878379,8.863735666,9.114210651,10.8086333
YBR106W,11.95689694,12.27072492,12.24776773,12.26955999,12.73657896
YBR107C,7.842201252,7.334071051,7.271165198,7.1122617,7.396731525
YBR108W,8.023289654,7.413826832,7.500999709,7.413674672,7.082833183
YBR109C,11.58697165,11.55015164,11.55214573,11.43382891,11.58998155
YBR110W,8.574185646,8.866646701,8.885257373,8.825671176,8.706620704
YBR111C,11.79970996,11.58968092,11.64224097,11.65156413,11.69034204
YBR111W-A,7.753100225,7.586893673,7.315102636,7.349324101,7.317753964
YBR112C,10.1606566,10.05586532,10.0649748,10.14617395,10.16973076
YBR114W,7.634777497,7.707911717,7.720819717,7.878464898,7.503666808
YBR115C,10.88003557,10.79359155,10.80098717,11.03765052,10.88786833
YBR117C,12.15967102,8.140698822,9.887641259,10.24994766,6.788795168
YBR118W,14.27785419,14.32393694,14.30497643,14.37118947,14.29929502
YBR119W,9.478932728,9.368991881,9.068648502,9.037603981,8.609676342
YBR120C,9.208663552,9.654224463,9.624959579,9.48444579,9.095163124
YBR121C,11.54749001,11.96192159,11.92859658,11.92616474,11.98844973
YBR122C,9.570455431,10.11327561,10.21143527,10.11368435,10.27184251
YBR123C,8.828110979,8.872847625,8.79908117,8.945193039,9.049025984
YBR125C,9.315198933,9.196156232,9.324865397,9.298866874,9.842684032
YBR126C,11.91675953,11.08500888,11.54908303,11.60958541,11.41559001
YBR127C,12.11470352,12.33838746,12.47974991,12.39991302,12.66574431
YBR128C,7.022512436,5.800112421,5.922857169,6.150943505,6.047491595
YBR129C,8.06477713,7.923471884,8.148469844,8.050800631,8.787331591
YBR130C,9.12247528,9.253467256,9.260245749,9.274239638,9.627760908
YBR131W,8.061696689,7.997699083,7.891458712,7.87408112,8.314305535
YBR132C,8.95548904,8.599620402,8.985620106,8.610880458,8.01658598
YBR133C,8.754975325,8.994911035,9.036972571,9.170184272,8.863636317
YBR135W,9.877170647,9.90638486,9.944309466,9.955775693,10.39848853
YBR136W,8.213534288,8.083594584,8.044311576,8.095215775,8.154336564
YBR137W,10.03061591,9.845569986,9.707992171,9.455592766,9.855096473
YBR138C,7.025070199,7.079796176,6.995330656,6.888411906,7.080470499
YBR139W,11.13828012,10.73607611,10.93775394,10.82686417,10.55254353
YBR140C,10.17272896,10.02340917,10.09360997,10.1522528,10.19484581
YBR141C,7.371541817,7.806954537,7.626332615,7.77956442,7.907407561
YBR142W,9.212110311,9.71158369,9.432023463,9.299408852,9.537144495
YBR143C,10.42006367,11.07710791,11.05236603,10.88393576,11.17163528
YBR145W,9.104612891,9.421111232,9.793209074,9.947254963,11.18835571
YBR146W,10.64357523,11.18282412,11.29598387,11.27673927,11.20718459
YBR147W,10.40961731,9.58361533,9.814825828,9.919780928,9.181752701
YBR148W,6.667232831,5.628896227,5.959710975,6.355409679,6.448119445
YBR149W,12.40900711,11.69168217,11.69358017,11.54105767,11.58653799
YBR150C,9.128934837,9.108104888,9.006243017,9.181586858,9.086020086
YBR151W,10.31215408,10.62216299,10.85963589,10.76559118,10.7380217
YBR152W,5.253031875,5.093536164,5.158858648,4.799707639,5.147814728
YBR153W,8.019709333,8.464229828,8.584182823,8.530210526,8.292979741
YBR154C,9.971177222,10.57829526,10.4349521,10.42234371,10.44284714
YBR155W,8.426572276,8.369451161,8.269450845,8.34032381,8.56899805
YBR156C,7.758027489,8.155131301,8.080186821,8.321652366,8.116474554
YBR157C,11.33089625,9.538611366,9.0173409,8.183478703,8.298118324
YBR158W,10.69654983,11.55198857,11.46091353,11.12328172,10.62974562
YBR159W,10.4540457,10.80871196,10.73731909,10.60775442,10.69851584
YBR160W,9.861183991,9.906571461,9.877928975,9.827581131,9.89102518
YBR161W,7.645254142,6.848795722,7.205001578,7.300676129,8.447646545
YBR162C,11.44027295,11.68551008,11.92686205,11.86756586,12.33404562
YBR162W-A,9.702228078,10.10157104,10.05669826,10.17411881,10.36635449
YBR163W,8.388954008,8.401849745,8.479447896,8.477520732,8.76965299
YBR164C,9.833731479,10.23748163,10.02305549,9.923393834,10.43206163
YBR165W,7.983907708,8.041330855,7.973701718,7.798417054,8.23527281
YBR166C,9.169014595,9.341503104,9.273626033,9.193468902,9.450393074
YBR167C,9.348430586,8.940452486,8.581211335,8.474836517,8.53388017
YBR168W,8.303470855,7.86691144,7.763165347,7.626870626,7.601177395
YBR169C,12.16245915,9.536179389,10.08578135,10.30729716,9.414201117
YBR170C,10.11021853,9.532856286,9.514255791,9.673949927,9.806198709
YBR171W,9.76418583,10.02718731,9.827041309,9.642100917,10.23105622
YBR172C,9.023868512,9.581577113,9.54466557,9.684146289,9.340568308
YBR173C,11.66619197,11.23602193,11.27849374,11.41779491,11.31482283
YBR175W,7.621015585,7.969379518,8.077276014,8.145672515,8.400949687
YBR176W,8.117654295,8.402445377,8.431097527,8.413812752,8.720036104
YBR177C,10.86843867,11.36017952,11.65817219,11.63973143,11.03913643
YBR179C,9.188727953,9.430861151,9.405076215,9.401832977,9.159641985
YBR180W,4.720298786,4.394572685,4.40563249,4.355707604,4.358225613
YBR181C,13.29011511,13.52775534,13.36943169,13.33827916,13.49340603
YBR182C,6.578831316,6.904297424,6.941109936,7.084867466,6.793013892
YBR182C-A,3.994307558,3.865001516,3.877483045,3.951917187,3.91582214
YBR183W,8.888875535,8.446417337,8.570757346,8.268613233,7.457096756
YBR184W,4.762634214,4.764203164,4.920356065,4.891373831,4.795969881
YBR185C,9.286698596,10.25438602,10.34932922,10.17315055,9.689965508
YBR186W,5.258268002,4.738303379,4.831735957,4.846273721,4.564809824
